SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
GETYOURWEATHER,2015,24.36573007692694,19.76402198133984,47.42888039593722,42.373454061077894,61.55524859160415,243.00266227402722,361.93487164298745,244.29396012065786,284.4945946802522,127.09633941118359,39.853816839571095,21.780000248443276,1517.943580324009
GETYOURWEATHER,2016,45.166298654751294,40.38058865687218,41.06477328096011,42.92474803746276,28.209497941208006,148.72873015125393,362.16892720935925,284.044020089429,159.5097649131609,119.55711378458264,26.84438765436158,34.52489765101941,1333.123748024421
GETYOURWEATHER,2017,21.47315664884863,28.754841562591682,12.96978122202283,25.38519341113296,61.451096409919494,123.17383347353487,343.0534176790295,289.15436640083726,249.94744671226607,79.8299207695211,35.379853054202634,6.52892692307635,1277.1018342669834
GETYOURWEATHER,2018,26.21904378561723,35.44534156594648,40.045202905798725,19.617188210077067,1.997506012431416,194.61491867559084,368.4051587719499,272.42295432290405,148.2235655896537,51.36453770133643,26.661879008014854,40.234517102745215,1225.2518136520662
GETYOURWEATHER,2019,24.226032223312625,46.08305036245326,26.05897443649619,23.935987894550493,20.19595976356443,234.68116300023175,296.0020578160333,205.20428292454724,217.27880812812836,115.10059061645505,5.099891355092446,41.310838103172664,1255.1776366240379
GETYOURWEATHER,2020,23.413999945877944,19.639130757874355,46.17773601038039,20.744999022722237,62.59768998627825,147.83358639190018,386.3796915179215,392.83156762327525,263.59019010803405,142.80516719000798,37.104417576364305,47.73783640986829,1590.8560125405047
GETYOURWEATHER,2021,10.312616409699437,10.453577840756944,49.19917543728936,47.2869396309571,21.883923536161053,199.1121318707925,297.2389539224306,325.37216032437226,201.75468997387634,103.57301330716639,41.039080341107116,3.8727276731560343,1311.0989902677652
GETYOURWEATHER,2022,3.8334002757594687,1.6415703562245199,8.772202269853773,46.915436068650294,6.440854363162196,168.7454726314418,222.97175903511996,209.02289059737447,186.531531384707,112.11493351159845,42.05449022234378,27.431703360114863,1036.4762440763507
GETYOURWEATHER,2023,17.87538712432173,29.75324912755778,48.54397736842294,32.0803581773453,92.67384024092381,152.25577221679856,322.4114601697876,316.91710158215005,248.86856596512663,94.19491523928498,40.93624877916125,2.6809010397621904,1399.191777030643
GETYOURWEATHER,2024,38.570708991657575,6.113074904264348,31.432693788428757,4.21722755941405,70.53535605723681,134.86795625449622,325.05680780422546,265.47638420993496,213.76943239202694,100.86038725259618,11.387947929559905,19.490075966670478,1221.7780531105118
GETYOURWEATHER,2025,43.52651971134452,36.44722960120931,28.925579506640098,13.379597112233444,84.60863149586196,255.18395797971434,257.61604547177535,286.1425623533239,240.79127641271575,127.59540369852198,43.6530451439718,14.495502738411526,1432.365351225724
